index	premise	hypothesis	label	originated_idx
1802	The man is trying to add color to his sculpture.	The man is at the bank.	3	5305|5304
1803	a dog catching a ball he just got as a gift	a man eating popcorn	3	4318|4316
1804	The season is fall.	The girl is on a beach.	3	6996|6998
1805	The boy is trying to get his kite down from the tree.	The boy is playing video games upstairs in his room.	3	7794|7793
1806	The dog is thinking about going to for a swim.	A cat is laying on the couch.	3	253|251
1807	A boy in light green pajamas plays.	A boy in white pajamas plays.	3	1548|1547
1808	Two girls hiding behind a wall.	Two girls playing hopscotch in an open court.	3	9178|9180
1809	A man takes his lunch break in the park.	A man sits in the cafeteria.	3	8026|8028
1810	A group of people are part of a dog lover's group.	A group of people holding cats take a picture.	3	2556|2555
1811	"A man is holding a sign a yelling ""tattoo""."	Two people are sitting in a coffee shop.	3	8319|8320
1812	A man is searching for something he dropped.	A man is in his bed asleep.	3	9067|9065
1813	A man is about to hit the winning point in a tennis match.	A man is shooting a basketball at the goal.	3	9291|9289
1814	The family is near a farmer market.	People are at a grocery store.	3	3920|3921
1815	A man trims a tree	A man swims across a pool	3	1359|1357
1816	A man was teaching his boy to swim.	A child is tosses into a box by a woman.	3	5759|5760
1817	A man is performing in front of a crowd.	A man is walking down the street.	3	2677|2676
1818	A man is acquiring information.	A man is playing videogames.	3	8275|8276
1819	A woman riding a bike in a race.	A woman is riding a skateboard.	3	9388|9386
1820	A snowboarder in a green hat rides along a metal railing in a competition.	A man is riding a riding a bicycle through the park.	3	6419|6418
1821	The people are partaking in a Japanese funeral tradition.	People dressed like circus clowns entertain at a child's birthday party.	3	1536|1537
1822	A boy is getting ready to carve his pumpkin.	A boy is holding a watermelon.	3	7387|7386
1823	They are going fast.	A group of gymnasts performing.	3	3259|3258
1824	The child went swimming.	The child is dry.	3	5878|5880
1825	A person starts to climb down the mountain before it gets too dark.	A man is drinking hot cocoa inside a lodge.	3	6661|6662
1826	Three young men are playing soccer in the beach wearing daisy duke shorts	Three young giraffes are playing soccer in the beach wearing shorts	3	1698|1697
1827	Kids are playing in the field.	Kids are walking through a mall.	3	2178|2176
1828	A boy happily watches an acrobat jumping on a stage.	A boy watches boats on a lake.	3	6512|6511
1829	people are protesting outside of an abortion clinic	people are throwing rocks at each other	3	4943|4945
1830	A man has his boy and his dog out enjoying time spent together while shopping.	A man is all alone looking at postcards.	3	4961|4962
1831	A young boy showing his new skateboard tricks to his friends.	A man painting a tree.	3	277|276
1832	men dont like their lunch	a bird flies	3	5090|5091
1833	The man is brown is getting his wallet to pay the man in the jacket.	The men are wearing blue uniforms and wrestling in a competition.	3	9712|9711
1834	The photo is taking place in a gym.	"The young woman removes her clothes, ""I came in like wrecking ball!"""	3	9058|9056
1835	Serina Williams plays tennis.	Pete Sampras plays tennis.	3	377|378
1836	Two small children walk towards their parents in a field.	Two small children are sitting down, eating ice cream.	3	2173|2174
1837	Pets galloping down the street.	The horse is asleep next to the man.	3	7927|7926
1838	A man in a gray shirt is working on a novel.	A man in a gray shirt is outdoors.	3	1921|1920
1839	A group of coaches are showing their team the scoreboard.	A snake eating a mouse.	3	1144|1143
1840	A young woman wearing a white sleeveless dress lined with real red flowers talking to her boyfriend on her cellphone as she walks down a quiet street sidewalk.	A young woman wearing a yellow dress sitting in the sand at a packed beach.	3	7696|7695
1841	A man working hard.	A woman watching the game.	3	7668|7667
1842	A man and women taking a break	A man and women laying down in bed	3	6324|6323
1843	A man putts while his group talks to each other.	Four guys go bowling at the lanes.	3	3255|3257
1844	The woman is trying to get a picture of her friend.	The woman is sleeping.	3	8933|8932
1845	The people are hungry.	The crowd is playing hockey.	3	5287|5288
1846	The people are waiting for their performance to start.	A man is standing by himself, playing guitar on the sidewalk.	3	2893|2892
1847	The two people are talking about the weather.	The two people re sitting inside.	3	3480|3481
1848	The man has been playing the blues.	Every instrument visible is a woodwind.	3	3789|3788
1849	The man is kneeling down.	The man is working underneath a vehicle.	3	3465|3467
1850	women dislikes rain, but walks through it anyway	Woman walks down street on sunny day	3	6666|6668
1851	the man is chasing after his daughter	a man is suntanning on a cave	3	1924|1923
1852	The woman is doing laundry.	The woman is wearing a bathing suit.	3	2394|2393
1853	A woman giving a seminar has her words recorded by her transcriber.	Two shabbily dressed women hold mics as they compete in a rap battle in front of a cheering crowd.	3	4287|4286
1854	A man is at his sisters party.	A person is sleeping on the couch.	3	8384|8386
1855	The dog will return to the lake soon	The man eats pants	3	6887|6885
1856	Tall people in costumes	Nobody has a costume one	3	5555|5554
1857	A man has dragon tattoos on his arm.	A man with no tattoos is getting a massage.	3	6533|6534
1858	daddy is old	the daddy is dead	3	1395|1393
1859	The two people walking in the sand are on a date.	There are five people walking in the sand with drums.	3	4135|4137
1860	A man in an orange hat is getting ready to throw a ball.	A man in a blue hat drops the ball.	3	8088|8089
1861	Young boys running their plays at home before Saturdays big peewee game.	Bender strikes again!	3	5796|5798
1862	They are at a photo shoot.	The cheerleaders are not posing.	3	7045|7046
1863	A tall person with glasses	Nobody has glasses on	3	3138|3137
1864	a dog is in a pond	a dog is sleeping	3	8182|8183
1865	The women each have umbrellas.	The street is dry.	3	7247|7245
1866	A group of friends poses for a picture in front of a brick wall.	A group of friends watches a movie inside.	3	2716|2714
1867	The man is reading the sportspage.	The man is climbing a mountain.	3	34|35
1868	A bunch of people are in a wooden object on the water.	A group of people are inside watching a hockey game.	3	476|475
1869	A colonel speaks into the microphone.	A woman soldier speaks into the microphone.	3	9759|9760
1870	People are racing up a hill.	People are having a picnic.	3	1430|1431
1871	A group of people are playing in a symphony.	A girl is washing a load of laundry.	3	97|95
1872	A crowd of people are headed to work.	One person sits on a subway car alone.	3	1037|1036
1873	A woman is making a business phone call.	A woman is sleeping in an elevator.	3	6918|6920
1874	A homeless man with a shopping cart.	A clean shaven man with an empty blue shopping cart.	3	2591|2590
1875	There are two people at the beach.	The people are standing.	3	3338|3336
1876	Shipyard workers are waiting on the docks	Shipyard workers are unloading the ships	3	1408|1409
1877	The new Chinese history exhibit is open at the museum	People are running a marathon	3	7425|7427
1878	a boy drags a sled up the hill	a boy drags his dog	3	9809|9810
1879	a rooster near a vendor hoping for food	a rooster on the farm	3	3309|3310
1880	The audience is cheering because of the celebrity.	The crowd is very quiet.	3	4038|4037
1881	Guys are playing shirts vs skins.	Guys are sitting in a meeting.	3	9467|9468
1882	two young men are dressed up	two women are dressed up	3	5560|5562
1883	A group of friends are getting some money before they go to dinner.	Three men are playing poker.	3	8139|8140
1884	A couple is having a picnic.	A couple is at a restaurant.	3	9765|9767
1885	The person is riding there bike to lunch.	The person is walking.	3	2548|2550
1886	A person is waiting for the train.	A man is taking the bus.	3	1011|1013
1887	The Asian woman is eating ice cream.	A business man is hurrying to work.	3	1050|1051
1888	The kids are on a fieldtrip	The kids are in a classroom	3	1735|1734
1889	A boy holds onto a post during a wind storm.	A boy gets his tongue stuck to a metal post.	3	5827|5825
1890	A girl is teaching her friends how to play hopsotch outside.	A girl is sitting in the snow.	3	3562|3561
1891	The dog is playing tug of war with a stick.	The dog is taking a nap at the park.	3	942|944
1892	A girl is opening a Diet Coke while talking to her boyfriend.	A man is eating dinner at a restaurant.	3	6395|6396
1893	the dogs are running away	two dogs are eating	3	7060|7059
1894	There are men drinking beer at a sports bar.	The men are at a baseball game.	3	455|456
1895	The coworkers are discussing a work related paper in their shop.	The guys are having a party at the park.	3	6277|6278
1896	A man is repairing a dam.	The man is in an office building.	3	919|920
1897	the woman is white	the woman is asleep at home	3	9732|9734
1898	Two men are on a boat going to catch fish.	Two men are driving a car in a forest.	3	6927|6929
1899	The governor prepared to deliver the speech that would deliver the votes.	A man in black hat keeps his lips sealed.	3	8760|8761
1900	Two children are building a brick furnace.	Two children are playing catch at a park.	3	53|54
1901	A car does a burnout in front of thousands of onlookers.	A car that has no tires.	3	1354|1356
1902	A tall person in shirt	Nobody has a shirt	3	3453|3455
1903	Children doing homework assignments while tutor monitors them.	Children building a sandcastle on the beach.	3	5962|5964
1904	A man standing next to a run down building.	A woman running through a sunny field.	3	5421|5420
1905	A man is working in a restaurant.	A woman is sitting outside in the rain.	3	7547|7545
1906	The toddler is wearing rain boots.	The man's shirt is white.	3	8068|8069
1907	Two men are shirtless.	Men are riding bicycles.	3	3918|3919
1908	A girl is playing.	A girl is blowing many tiny bubbles.	3	5805|5806
1909	One man shows the ransom money to the other.	Two men lie on tables in the morgue.	3	3668|3666
1910	A border collie is jumping to catching a toy.	A dog is napping on the bed.	3	7445|7447
1911	two people go to work in a blizzard	two men play with a snowman	3	724|726
1912	Two men are walking down the sidewalk.	Two men in snow pants and sweaters are walking.	3	6854|6852
1913	There has been an accident	There are 6 men in priest robes	3	4499|4501
1914	A team is playing street soccer.	A group of boys are sitting down.	3	3448|3447
1915	A young boy is playing in the field because his mother kicked him out of the house.	A young boy is playing video games indoors.	3	201|202
1916	The players start a fight to continue a previous disagreement.	The ballerinas have words before the recitial.	3	6422|6421
1917	A girl is blowing a kiss to a boy while someone watches.	A girl is smoking a cigar in a pool hall.	3	8094|8095
1918	the man is mexican	the man and his goat in the farm	3	9437|9436
1919	A woman is standing in a kitchen.	A woman in an apron is cooking spaghetti.	3	8533|8534
1920	Man sitting at a tarot card shop, waiting for his palm to be read.	Man building a house out of stone.	3	8595|8593
1921	A Pomeranian next to a window	A cat next to a window	3	7588|7589
1922	A man is trying to earn money by playing for other people on the street.	A woman is flying crosscountry.	3	434|435
1923	A woman is walking towards a bus stop.	An elderly woman with a cane is sitting on a chair.	3	593|591
1924	A baby is getting a bath by his Father.	A woman is scrambling eggs.	3	5925|5926
1925	Happy children play on scaffolding.	Young men play on scaffolding.	3	9032|9033
1926	A man and a woman are running as part of their training for a marathon.	An old man walks by himself through the city.	3	4337|4339
1927	A man in a police uniform is talking to another man.	A man in a swimsuit is talking to another man.	3	5168|5169
1928	a small boy holds a kettle that will soon be filled with salsa	a small boy runs through the corn field	3	440|439
1929	The woven walls are multicolored.	The three bar tenders work hard pouring drinks.	3	1688|1690
1930	The father and son are repairing the sign.	The two men are fighting.	3	5372|5373
1931	A man holds a big flag.	A man hugs his mother and leaves for war.	3	2912|2914
1932	A group of males are outside reading and singing.	Men are throwing books and talking outside in a courtyard.	3	7283|7281
1933	The policeman is on a stakeout.	The policeman is standing.	3	7838|7839
1934	A women purchasing a new camera from the store.	A women cradling a baby.	3	9149|9150
1935	Kid celebrates at a birthday party	Here we see a wild boy in his natural enviroment.	3	7326|7328
1936	A man is working.	A man is sleeping.	3	5078|5079
1937	A man walking in Droney Park on his day off.	A man jogs through the woods.	3	3795|3793
1938	A man sings a love song to the audience.	A naked man drinks a soda in the dark.	3	3679|3678
1939	A group of hikers pause for a break.	Young women are surfing in the ocean.	3	4987|4985
1940	He is searching for fish	The bird is in a tiny cage	3	6922|6921
1941	They are friends	4 women are dancing	3	7193|7192
1942	woman carrying child to the store	man walking a dog	3	6051|6050
1943	This is the first time the dog has seen snow.	A dog tries out frozen water.	3	1721|1722
1944	Many people load up a taxi	The taxi has nothing on it	3	3701|3702
1945	The tan dog is being groomed on the table.	The boy is walking the dog in the park.	3	4138|4139
1946	Performers are waiting for a crowd to calm down before they continue their performance	Two people are lying on a couch	3	3808|3810
1947	Three college women are studing.	Three woman are watching TV.	3	4828|4829
1948	The man is standing by a river.	The man is swimming in the water.	3	8564|8565
1949	The dogs are in the backyard.	The dogs are eating from their dog bowls.	3	1020|1021
1950	A group of schoolchildren are working on a gingerbread house neighborhood for class.	A man is yelling at his son about the broken television behind them.	3	1990|1991
1951	The man is the janitor for the building.	The man has white clothing.	3	3974|3976
1952	Construction workers are building something.	A group of children are swimming outside.	3	8516|8517
1953	A man is reading a newspaper on break.	A man is sitting down reading a newspaper.	3	8402|8404
1954	The men are construction workers.	The men are walking inside the school.	3	8250|8249
1955	A husband and wife walk down the street.	A husband and wife lay on the beach.	3	7685|7686
1956	several young people sitting outside	several young people are sitting in an auditorium	3	230|231
1957	The outfits are orange.	The couple is naked.	3	7413|7415
1958	Lady is searching for food in garbage	Lady is making burger for her kids	3	7177|7179
1959	A man in the Navy stands on a boat in the cool air.	A man in a uniform is underground.	3	4079|4081
1960	the man is a model	the man is at home sleeping	3	3470|3469
1961	A group of humans are looking at the same direction.	The group of friends are asleep.	3	285|284
1962	The faces of the people are visible	The sun is at its highest point of the day.	3	2511|2510
1963	A girl is about to crash her toy car.	A young boy sits in a lawn chair.	3	8579|8580
1964	A girl is fishing in the a pond in the summertime.	A girl wearing a dress looks off a cliff.	3	4225|4224
1965	Boyfriend and girlfriend hugging each other.	Cat and dog fighting on a boat.	3	3539|3540
1966	A group of people walk through tear gas.	A group of people dance in the daytime.	3	1047|1048
1967	A youth skateboards by a mural that has been vandalised.	A youth bikes by a mural.	3	4562|4563
1968	The people are taking a break from riding their bikes.	People are sitting on their unicycles.	3	2595|2596
1969	People are taking pictures of the indy 500.	People are watching a ball game.	3	9176|9175
1970	A man with brown hair is standing on a dock.	A man is sitting on a dock.	3	2775|2774
1971	A man and a woman are playing together.	Two men are playing basketball.	3	5069|5071
1972	Two young people are in love.	Two young people are angry.	3	2147|2148
1973	A famous NBA player is playing street ball in front of a crowd.	A man is making a sandwich while a crowd gasps in awe.	3	268|266
1974	The man is wearing designer fashions during a photoshoot.	There is a man running through a green field.	3	9533|9532
1975	A person is sleeping on a park bench.	A person is dancing at a rave.	3	6389|6391
1976	The child is getting wet from the fountain.	The child has a green shirt.	3	3462|3463
1977	A woman is deciding whether or not to read a book.	A woman is standing and looking at a book.	3	4342|4340
1978	Two people riding on a bicyle down a small dirt road.	Two people playing chess at a park.	3	2925|2926
1979	A man is dozing off while bumming a ride in the back of a truck.	A man is driving a truck blindfolded.	3	3800|3799
1980	A chef is cooking up a 6-course menu for his close friends.	The chef is sleeping in his canoe.	3	6440|6439
1981	a boy rides his bike	a girl runs down the street	3	4550|4551
1982	German tourists are waiting in line to board a bus.	People are surfing in the ocean.	3	3308|3307
1983	The woman is waiting for someone to show up.	The woman is wearing a purple coat.	3	9346|9344
1984	Two men with matching baseball team shirts are folding a towel.	Two women are having coffee.	3	5411|5412
1985	Three women make cupcakes for a bake sale.	Three women go to the spa.	3	975|977
1986	The woman is carrying a basket down the street in Nepal.	The woman is playing soccer in the cobble stone streets of Brazil.	3	6057|6056
1987	The firefighters are trying to save a child.	The firefighters are eating lunch.	3	6435|6433
1988	A large tattooed woman clicking on a mouse on a desk.	A tattooed man clicking on a mouse on a desk.	3	7172|7171
1989	Men sit on the bus going to work,	Men drive the bus into the ocean.	3	193|194
1990	A tourist has his picture taken on Easter Island.	A child hunts for easter eggs.	3	971|970
1991	A woman riding a bike to work.	A woman driving a car.	3	273|274
1992	the kid is in front of the tree on christmas eve	the kid is on Saturn	3	2010|2009
1993	A woman struggles to swim after falling into a strong current.	A woman lays on a pool float.	3	2123|2125
1994	A man is outside.	The person is jumping on a trampoline.	3	2172|2170
1995	An old lady pushing a stroller down a busy street.	A lady sitting on a bench in the park.	3	87|86
1996	The man is running a marathon.	The man is last place in the race.	3	2412|2411
1997	A boy is with a soccer ball.	A girl is wearing a sweater.	3	6680|6679
1998	A professional skier skis down a mountain.	A snowboarder takes a nap on the course.	3	5726|5727
1999	A woman and a man block the entire sidewalk.	Two women embrace on the sidewalk.	3	9755|9754
2000	A group of coworkers are eating lunch together.	Three women are shopping at the mall.	3	5615|5614
2001	A man singing to the crowd.	A man juggling flaming torches.	3	3773|3772
2002	A man and his son are looking at something.	A woman and her dog are eating breakfast.	3	2089|2090
2003	A woman sits outside on the dock overlooking the ocean.	A  woman is swimming in her pool.	3	3867|3868
2004	Child getting pedicure with mother.	Child getting a manicure.	3	6270|6268
2005	A man is sailing to Cuba.	A man is eaten by a shark.	3	1711|1709
2006	The men are construction workers	The men are sleeping	3	1849|1850
2007	This is his first wave of the day.	The surfer is skateboarding.	3	5491|5493
2008	The flautist plays a lullaby.	A gil runs down the road with her cat.	3	2497|2499
2009	The women are sorority sisters.	The women are break dancing at the club.	3	3387|3385
2010	Tall humans working.	Nobody is working	3	9797|9798
2011	The man has rental shoes on.	The man is at home watching TV.	3	9706|9707
2012	A student studying for a big exam	A person at the movies	3	2739|2738
2013	The actor playing Voldemort is wearing a scary mask and a black and white robe.	The performer is naked.	3	2231|2232
2014	The boy is not happy	The boy is walking around	3	2128|2127
2015	He has just won the competition	Two dogs fly to the sun	3	8415|8416
2016	A girl in a red coat makes a snow angel for the first time.	Girl in a black coat stays indoors away from the snow.	3	281|282
2017	A boy is about to hit a home run.	Some people are scuba diving.	3	7462|7460
2018	A mother and daughter are chatting.	The women are standing and frowning.	3	2367|2369
2019	A man skis in the wilderness while it's snowing	The man is seated	3	7053|7054
2020	A man is teaching his granddaughter to swim.	A boy is swimming in the ocean.	3	1861|1862
2021	two men are working on machinery on the famed titanic	two men are sitting by the pool next to machinery on the boat	3	2318|2320
2022	2 people are talking	10 people are kissing	3	5791|5790
2023	A man showing how to slice a coconut next to a stump to other people going around	A man drinking coconut water.	3	1507|1509
2024	A couple people enjoy the water near the mountains.	Two men lie in the sand of a desert.	3	2160|2159
2025	People in uniform are working near a fire.	Police are sitting at the station eating donuts and talking on the phone.	3	3226|3225
2026	The sad clown fell off the horse at the State Fair rodeo.	The cowboy rode the bull to the buzzer.	3	6213|6212
2027	Workers are returning from inspection.	People are climbing a mountain.	3	6575|6576
2028	A woman is protesting in the street.	A woman is riding a bicycle.	3	478|480
2029	A taxi cab is driving down a path of snow.	A red car is driving on a sunny day.	3	7313|7312
2030	It is raining.	A man is jogging.	3	8519|8520
2031	Two men are headed to baseball practice	Two men are watchin TV inside	3	5568|5567
2032	A woman is selling jewelry to two girls.	A man is boasting about something at a bar.	3	4005|4004
2033	The woman is Asian.	The woman is in a wheelchair.	3	2101|2102
2034	lessons are there to learn	music can be learn by litsen	3	4924|4922
2035	Six people are celebrating halloween.	Six people are in a hospital.	3	7498|7499
2036	The kid is playing at the waterpark.	The kid is riding a bike.	3	2862|2863
2037	A child sits on a wall writing a story of falling leaves	An child is throwing stones at a leaf wall	3	5540|5541
2038	A female astronaut adjusting to the feeling of low gravity by training underwater.	An astronaut working with an alien to repair a satellite.	3	1700|1702
2039	A chef is near a food truck.	A chef has been fired and sits at home with a handle of whiskey.	3	1487|1489
2040	The school kids are relaxing during recess.	The boys are playing dodge ball.	3	7877|7876
2041	A man throws salt on a snowy road.	A man paints a house.	3	9026|9028
2042	The man are putting on their attire before going into the cold weather.	The men are wearing bright suits in the park.	3	1019|1017
2043	A girl is falling off a pier, into a lake.	A girl has tripped and fallen into a pile of raked leaves.	3	8790|8789
2044	The employee is wearing a blue shirt.	The employee is swimming in the ocean.	3	615|617
2045	two dogs chase a bunny	one cat sleeps	3	3896|3898
2046	A large number of men walking down the street in red and white.	A large number of people wearing black walking down the street.	3	130|129
2047	He is deciding whether he should trim his beard.	The man is sleeping.	3	7435|7434
2048	A kid in the middle of playing cops and robbers poses with his toy gun	A kid digging a large hole	3	6600|6599
2049	The large black man is relaxing in the chair and waiting for a steak	the large black man is running a race	3	9554|9552
2050	The man is doing science.	The man is wearing a baseball uniform.	3	5045|5047
2051	A lady just exited Starbucks.	A lady is eating sushi at her desk.	3	2322|2321
2052	The young swimmer wades out into the water at the start of his team practice.	The young girl gets into the water with her bathing suit.	3	1458|1457
2053	The ninja costumes are black.	There is only one person present.	3	2075|2073
2054	Three brothers pound on some drums	Three women play the drums	3	2316|2315
2055	A person is sitting outside	A person is laying at home	3	810|811
2056	A girl is playing wrestling with a friend.	The boy is at a boxing match.	3	3777|3776
2057	The man is searching for something in the basement.	The man is sitting in his living room.	3	5499|5498
2058	people are at a busy intersection	people are at home watching tv	3	2933|2935
2059	Workers removing ice from a walkway in front of a school	Workers having a coffee break	3	2619|2618
2060	The man is an amish man.	The man is driving a limosine.	3	767|765
2061	THE COUPLE ARE EATING STEAK	THERE IS A COUPLE WALKING THEIR DOGS	3	585|587
2062	The lady wearing a jacket is looking for her lost dog.	A woman is eating pasta in a restaurant.	3	240|239
2063	Two opponents are getting ready to face off in a Hockey game.	Two men are getting ready to play basketball.	3	2023|2024
2064	People are betting on dogs at a track.	Dogs are chasing bunnies in a field.	3	2228|2229
2065	There are some people at a business meeting.	Three humans are practicing their square-dancing moves.	3	9279|9278
2066	a coach teaches his kids	a cat sleeps soundly	3	8804|8803
2067	The women were walking downtown because the buses were on strike	The women were picking berries in the countryside	3	156|157
2068	the people are a couple	the people are crying in their sleep	3	4467|4465
2069	A dog is playing with his owner	A puppy is rolling on the ground	3	5575|5576
2070	The married couple stood under the umbrella.	The two woman stood under the black umbrella.	3	1195|1193
2071	The man's beard is quite long.	The man has no facial hair.	3	7106|7105
2072	The track runners are all black ethniticity	The  track runners are sitting on an airplane	3	4143|4145
2073	A young boy is sleeping at a sleep over.	A young boy is playing soccer.	3	536|535
2074	There is a black dog outside.	There is a dog sleeping on the bed.	3	5061|5062
2075	A sister holds her little brother.	Two old ladies are making out at a strip club.	3	7728|7727
2076	Two people are walking in the snowy woods behind their home.	Two people are soaking up the sun in the summer time.	3	4408|4410
2077	A woman is enjoying a meal before bed	A woman is wearing a blue coat	3	9737|9735
2078	A woman sets up a camera to capture pictures of the night sky	A woman with a red hat sets up a camera on a tripod	3	1946|1947
2079	A gymnast is in mid air.	A female gymnast is enjoying a cinnamon roll.	3	3211|3210
2080	A rugged man sits atop a mountain.	A woman standing on top of a rocky mountain.	3	1606|1604
2081	Men talking, while catching fish.	Guys at a campsite, building a fire.	3	7026|7027
2082	Four kids pose during summer vacation.	A man stirs the stew.	3	452|453
2083	A female has a bee on her hand.	The hat wearing girl is petting a cat.	3	9247|9248
2084	The food vendor is selling hot dogs.	The colors has disappeared form the world.	3	5912|5910
2085	teen girl plays swing with his friend.	old lady sitting on a chair.	3	6492|6490
2086	A little girl in a gray jacket is doing a wheelie on a ten speed mountain bike.	A little girl in a gray jacket is driving a car.	3	8745|8746
2087	A person juggles balls in a kilt.	A person rides a bike down a hill wearing pants.	3	3550|3549
2088	girl plays in park	a boy drinks coffee	3	8602|8604
2089	A group of people wait to cross a Parisian street.	Some people are taking a tour of the factory.	3	6748|6747
2090	The woman has an important meeting today in the building.	A dog is running up the steps of a building.	3	606|607
2091	A security officer is dressed in a uniform.	A security officer is in an office building.	3	4929|4930
2092	Tall people cooking	nobody is cooking	3	8434|8435
2093	A man practices for the 80s party.	A woman strips in a sleazy club.	3	5517|5516
2094	A grandmother is standing in front of a bus with violets decorated all over it.	There is a group of boys standing around looking at a sports car.	3	8573|8572
2095	A person has a number on his shirt.	A man is jogging in the park.	3	5990|5989
2096	The crowd is calling for help for the people on the roof.	Three people are climbing down the ladder on the building.	3	112|114
2097	Hipsters hang out outside of a cafe on a sunny day.	Gandalf and the red toy crab do battle in the streets.	3	7278|7279
2098	A man gives a speech about the economy.	A man is wearing a suit.	3	9228|9226
2099	The building is historical.	Gerbils chat on Gruveo.	3	9566|9564
2100	A dog runs through some water to catch a stick.	A dog runs through a field.	3	1310|1312
2101	A man is about to take a ride in a white canoe.	A man is indoors watching someone canoe on television.	3	6521|6520
2102	The road is dangerous for the four women to try to walk on because it is covered in ice.	Four women are walking near the dry highway.	3	821|823
2103	A young boy wears a helmet and biking boots.	A young boy is watering some plants.	3	9017|9019
2104	A black family selling fresh produce in an outdoor market	A family skeet shooting	3	1003|1002
2105	The women are auditioning for a kung fu movie.	The women are beating each other up with their bare fists.	3	1741|1739
2106	Two people race up a structure	Two people take a ship to the moon	3	7120|7121
2107	A woman is attempting to recognize a friend she thinks is approaching.	A woman is covering her eyes from the bright concert lights.	3	6746|6745
2108	People are celebrating their friend's birthday	People got shot by a sniper and dide	3	6312|6313
2109	A tall human standing	Nobody is standing	3	4291|4290
2110	The man is making repairs.	The shed is made of t-shirts.	3	6350|6352
2111	Two men shining shoes in the plaza.	Two men fighting over ice cream.	3	6149|6148
2112	The woman is contemplating buying a new outfit.	The ball is on the floor.	3	1469|1470
2113	A skier going down the bunny hill.	A surfer riding a wave.	3	3784|3786
2114	The snowboarder has never tried this jump before.	The snowboarder is naked.	3	9594|9596
2115	2 male humans are working construction.	2 male humans are sleeping.	3	6179|6178
2116	Galina is winning the race.	There are no women running.	3	1577|1578
2117	a woman is taking a picture outdoors	a woman is inside at the movies	3	8969|8970
2118	A boy is attending an event	A boy is cheering for his team.	3	7798|7800
2119	The woman is in first place.	The woman is not going to finish the race.	3	6146|6147
2120	A 16 year old doing homework.	The boy sitting on top of his dads truck.	3	4583|4584
2121	The hungover man drives his boat to work.	The happy pilot flies his plane.	3	7731|7732
2122	A biker is getting ready to race against his opponents.	A race car driver is doing laps in front of other people.	3	2428|2427
2123	A little boy thowing a snowball from the top of a snow pile.	A child riding his bike by the beach.	3	5665|5667
2124	The man likes taking pictures.	The man has blue sunglasses.	3	4947|4946
2125	two people tell jokes	two people running a race	3	6719|6718
2126	A trophy is in the case	a girl is walking	3	9577|9578
2127	Construction is being done on the road.	A road worker is holding a shotgun to direct traffic.	3	9357|9358
2128	Two women are enjoying an afternoon of shopping.	Some women are applying makeup.	3	8787|8788
2129	A city employee inspects construction on a public road.	The man in black is climbing the stairs.	3	3790|3791
2130	The children are having fun together.	The kids are at the table eating dinner.	3	3428|3427
2131	The musicians are care free.	It is morning.	3	2809|2808
2132	The men are nervous	The bridge is metal	3	2344|2345
2133	A family visits the zoo.	There is a group of people, waiting at the bus stop.	3	5829|5828
2134	The woman is tall.	The woman is wearing a shirt.	3	8413|8411
2135	The Elderly people are crossing the crosswalk.	The elderly people are swimming in the pool.	3	1525|1524
2136	A man is on his way to work.	A man ran a red light.	3	9441|9442
2137	The soccer players compete in the championship	They give up and walk off the field	3	6982|6983
2138	A person is selling coconuts.	A person is burning a straw hat.	3	40|41
2139	A family is walking through a gate.	Two dogs are walking throught a gate.	3	3622|3621
2140	A driver passing his opponent on the last lap	People playing racketball	3	8998|8997
2141	A tall person running	Nobody is running	3	1116|1118
2142	the people are tourists	the people are standing at the cliff	3	9280|9282
2143	People are betting on dogs at a track.	Dogs are chasing bunnies in a field.	3	2228|2229
2144	The engineer heard a noise.	The engineer was falling asleep.	3	5851|5853
2145	The boy's suspenders are blue.	The boy is dressed in a formal suit.	3	9412|9413
2146	A man in a police uniform is talking to another man.	A man in a swimsuit is talking to another man.	3	5168|5169
2147	An Asian woman is dancing sexily.	An Asian man is dancing.	3	2763|2764
2148	A young woman is smiling and looking away from the camera.	A young woman is sitting on a toilet.	3	1515|1513
2149	The women are older	There are men dancing	3	860|859
2150	Dancers are performing to Latin music.	Two magicians are performing on stage.	3	7768|7767
2151	A young black man stands beside an overfilled garbage can.	An owl sits in a tree late at night.	3	6799|6800
2152	a man wearing headphones working on a sculpture of his friend	a man wearing a hat works on his car	3	6496|6497
2153	The dog is running outside	The dog is walking	3	996|998
2154	the man is training some guys	The man is at the supermarket.	3	2542|2543
2155	A dog wants back inside from the cold.	A dog is warm in it's bed.	3	9415|9417
2156	A baseball player hit a homerun.	A baseball player has a green and orange helmet.	3	5536|5537
2157	A group of girls are having fun.	Girls are not having a good time.	3	1405|1406
2158	A boy puts on his new sunglasses	A girl puts on some sunglasses	3	3962|3964
2159	The two dogs belong to the lady.	The lady has the two dogs inside.	3	9636|9638
2160	The photographer is taking a picture of an old man.	The photographer is taking a photo of a dog.	3	6603|6604
2161	A man is traveling to see his best friend.	A boy is sweeping the sidewalk.	3	7801|7802
2162	The photographer is well dressed and carries a camera.	A man wearing a sweater is carrying a golf club.	3	4982|4984
2163	The dog is jumping over some pillows to get to a treat.	The dog is laying down on the bed.	3	5375|5377
2164	The church has cracks in the ceiling.	A choir singing at a baseball game.	3	0|2
2165	People speak a variety of different languages.	A large crowd of dogs are at the park.	3	1521|1520
2166	This person is looking at other people.	This person is exploring Mars.	3	6826|6827
